,county,state,date,latitude,longitude,season,temperature_high,temperature_low,cloud_cover,precip_intensity,visibility,conditions,wind_speed,Precip Intensity Groups,Visibility Classification (mi),Cloud Cover Classification (%)
4025,Limestone County,Alabama,1978-04-15,34.92855,-87.1105,Spring,78.4,44.5,58.1,0.0,13.7,Partially cloudy,10.3,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Partly Cloudy/Sunny: 25 to 62.5
4026,Limestone County,Alabama,1993-08-20,34.9263,-87.02025,Summer,93.9,72.5,56.1,0.305,4.6,"Rain, Partially cloudy",9.6,heavy: 0.3 to 2,Light Haze: 2.48 to 6.21,Partly Cloudy/Sunny: 25 to 62.5
4027,Limestone County,Alabama,2001-10-15,34.6802,-87.00665,Fall,73.5,46.6,0.0,0.0,9.8,Clear,9.2,light: 0 to 0.1,Clear: 6.21 to 12.43,
4029,Madison County,Alabama,2009-02-24,34.71139,-86.6575,Winter,59.6,28.5,67.4,0.04,9.1,"Rain, Partially cloudy",10.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
4030,Morgan County,Alabama,2000-10-10,34.5422,-86.66465,Fall,66.8,30.8,0.0,0.0,9.9,Clear,10.3,light: 0 to 0.1,Clear: 6.21 to 12.43,
4031,Morgan County,Alabama,2008-11-28,34.55946,-86.59747,Fall,62.4,42.6,59.8,0.04,8.0,"Rain, Partially cloudy",10.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
4033,Morgan County,Alabama,2013-03-16,34.47091,-86.56954,Winter,75.2,53.4,32.1,0.0,9.9,Partially cloudy,14.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
4034,Pickens County,Alabama,2007-09-01,33.13,-88.14999,Summer,88.8,71.5,8.7,0.014,8.1,Rain,9.6,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
4035,Escambia County,Alabama,1983-10-14,31.13586,-87.06486,Fall,66.1,51.6,89.3,0.0,6.8,Partially cloudy,11.0,light: 0 to 0.1,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
4036,Dale County,Alabama,2008-01-19,31.35,-85.7075,Spring,48.2,34.1,89.6,1.853,6.4,"Rain, Partially cloudy",11.5,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
4037,Cullman County,Alabama,2013-01-23,34.29511,-86.88621,Winter,54.3,32.2,65.9,0.0,9.9,Partially cloudy,10.2,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
4038,Covington County,Alabama,1978-10-10,31.34781,-86.54527,Fall,82.8,58.1,30.5,0.0,7.9,Partially cloudy,7.8,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
4039,Colbert County,Alabama,1999-11-15,34.80405,-87.50905,Fall,61.9,44.8,0.0,0.0,9.9,Clear,11.6,light: 0 to 0.1,Clear: 6.21 to 12.43,
4040,Coffee County,Alabama,2013-01-28,31.53475,-85.7944,Winter,74.4,54.4,50.3,0.0,9.5,Partially cloudy,8.0,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
4041,Cleburne County,Alabama,1994-09-15,33.7065,-85.57415,Fall,88.3,62.2,29.0,0.0,6.1,Partially cloudy,9.3,light: 0 to 0.1,Light Haze: 2.48 to 6.21,Partly Cloudy/Sunny: 25 to 62.5
4042,Clay County,Alabama,2008-01-19,33.46345,-85.87055,Winter,43.2,29.1,81.3,0.09,9.0,"Snow, Rain, Partially cloudy",10.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
4044,Cherokee County,Alabama,2014-06-17,34.14117,-85.22781,Summer,90.3,65.5,7.2,0.0,7.4,Clear,4.7,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
4045,Blount County,Alabama,1975-08-25,34.1288,-86.68,Summer,89.3,73.2,27.7,0.0,13.7,Partially cloudy,14.7,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Partly Cloudy/Sunny: 25 to 62.5
4046,Bibb County,Alabama,2007-09-12,33.1,-86.86,Summer,83.8,71.0,63.2,0.036,4.8,"Rain, Partially cloudy",6.6,light: 0 to 0.1,Light Haze: 2.48 to 6.21,Mostly Cloudy: 62.5 to 87.5
4047,Barbour County,Alabama,1980-01-12,31.86801,-85.35995,Winter,59.7,44.5,67.9,0.0,8.2,Partially cloudy,13.7,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
4048,Blount County,Alabama,2006-06-03,33.00014,-86.00004,Fall,80.8,64.5,23.4,0.0,8.3,Partially cloudy,13.8,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
4049,Blount County,Alabama,2014-01-14,33.89833,-86.84557,Summer,58.1,41.7,40.8,0.025,9.2,"Rain, Partially cloudy",12.9,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
4051,Chilton County,Alabama,2000-05-13,32.76967,-86.4891,Spring,92.8,71.0,45.3,0.0,8.6,Partially cloudy,12.3,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
4052,Chilton County,Alabama,2013-10-15,32.48322,-86.37698,Fall,75.0,60.1,40.4,0.0,9.2,Partially cloudy,9.3,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
4054,Clarke County,Alabama,2008-08-31,31.20325,-87.5047,Fall,88.7,74.3,36.0,0.249,9.3,"Rain, Partially cloudy",14.7,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
4057,Cleburne County,Alabama,2020-06-15,33.64341,-85.41961,Summer,84.2,61.3,24.5,0.0,9.9,Partially cloudy,9.7,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
4058,Cleburne County,Alabama,2023-02-09,33.65175,-85.52335,Winter,67.8,50.7,83.3,0.018,9.6,"Rain, Partially cloudy",12.4,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
4059,Colbert County,Alabama,2005-01-12,34.70112,-87.77686,Winter,66.8,62.9,81.7,0.012,9.0,"Rain, Partially cloudy",20.8,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
4061,Conecuh County,Alabama,2000-02-10,31.16,-87.09069,Winter,70.8,33.0,15.7,0.003,8.0,Rain,15.9,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
4063,Covington County,Alabama,2007-09-12,31.29,-86.255,Spring,92.3,73.5,61.9,1.882,8.0,"Rain, Partially cloudy",10.8,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
4064,Cullman County,Alabama,2014-06-09,34.00806,-86.96416,Summer,82.4,66.4,47.8,0.834,9.2,"Rain, Partially cloudy",11.7,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
4065,Dale County,Alabama,2011-04-01,31.30503,-85.61766,Spring,75.1,41.6,9.0,0.0,9.1,Clear,18.7,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
4066,Dallas County,Alabama,2006-09-10,32.30673,-87.24547,Summer,89.4,63.7,19.2,0.006,9.7,Rain,11.4,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
4067,Baldwin County,Alabama,1979-09-14,30.7113,-87.91833,Summer,85.7,70.7,43.1,0.0,7.3,Partially cloudy,13.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
4068,Autauga County,Alabama,1985-08-15,32.4456,-86.5653,Unknown,88.9,70.5,71.9,0.109,6.8,"Rain, Partially cloudy",8.0,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
4069,White County,Arkansas,2005-05-01,35.07,-91.97,Spring,70.8,39.8,27.6,0.0,9.1,Partially cloudy,8.6,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
4070,Washington County,Arkansas,1999-11-15,36.13361,-93.94389,Fall,69.9,37.5,0.0,0.0,10.8,Clear,8.1,light: 0 to 0.1,Clear: 6.21 to 12.43,
4074,Sebastian County,Arkansas,1986-09-27,35.1759,-94.0679,Fall,92.0,69.8,64.2,0.0,17.6,Partially cloudy,12.0,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Mostly Cloudy: 62.5 to 87.5
4076,Saline County,Arkansas,1975-04-04,34.52473,-92.70348,Spring,62.7,31.4,23.0,0.0,15.0,Partially cloudy,12.7,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Mostly Sunny: 6.25 to 25
4078,Pulaski County,Arkansas,1975-09-15,34.87,-92.12,Summer,64.0,57.8,97.5,0.902,5.8,"Rain, Overcast",10.9,heavy: 0.3 to 2,Light Haze: 2.48 to 6.21,Cloudy/Overcast: 87.5 to 100
4080,Polk County,Arkansas,1998-07-07,34.70694,-94.45417,Summer,101.9,77.1,8.5,0.0,9.7,Clear,11.6,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
4081,Newton County,Arkansas,2018-07-22,36.042,-93.1545,Summer,89.6,64.8,0.3,0.0,9.9,Clear,9.9,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
4084,Miller County,Arkansas,2001-04-01,33.31194,-93.8417,Winter,71.0,42.2,11.3,0.0,9.9,Clear,16.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
4085,Miller County,Arkansas,2004-02-19,33.18639,-93.9475,Winter,70.8,46.5,18.2,0.0,9.5,Clear,20.8,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
4086,Miller County,Arkansas,2012-09-13,33.33171,-93.98622,Summer,82.2,69.9,39.1,0.031,9.8,"Rain, Partially cloudy",11.4,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
4087,Polk County,Arkansas,2016-12-02,34.4125,-94.1125,Winter,62.6,31.8,5.7,0.0,9.9,Clear,5.2,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
4088,Polk County,Arkansas,2018-08-08,34.61197,-94.21684,Summer,86.0,71.2,43.1,0.015,9.5,"Rain, Partially cloudy",10.0,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
4089,Polk County,Arkansas,2004-10-15,34.369,-94.3745,Fall,76.1,38.0,9.3,0.0,9.2,Clear,10.6,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
4092,Pope County,Arkansas,2018-11-22,35.55535,-93.1716,Fall,61.8,29.3,0.0,0.0,9.0,Clear,7.7,light: 0 to 0.1,Clear: 6.21 to 12.43,
4093,Pulaski County,Arkansas,1976-09-15,34.92336,-92.30519,Fall,86.9,61.3,27.7,0.0,6.7,Partially cloudy,5.2,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
4094,Pulaski County,Arkansas,2010-10-30,34.92684,-92.30753,Fall,71.6,31.0,2.7,0.0,9.6,Clear,11.5,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
4095,Pulaski County,Arkansas,2012-12-07,34.86535,-92.3575,Winter,62.7,55.4,95.1,0.0,8.3,Overcast,6.9,light: 0 to 0.1,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
4096,Pulaski County,Arkansas,2017-02-10,34.85324,-92.25454,Winter,70.6,31.2,27.1,0.0,9.9,Partially cloudy,20.3,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
4098,Saline County,Arkansas,1975-09-20,34.47,-92.58,Fall,77.6,57.0,22.9,0.212,14.9,"Rain, Partially cloudy",10.5,moderate: 0.1 to 0.3,Very Clear: 12.43 to 31.06,Mostly Sunny: 6.25 to 25
4099,Saline County,Arkansas,1994-10-15,34.56444,-92.58667,Fall,68.4,59.7,96.1,0.246,4.6,"Rain, Overcast",11.3,moderate: 0.1 to 0.3,Light Haze: 2.48 to 6.21,Cloudy/Overcast: 87.5 to 100
4102,Saline County,Arkansas,2010-11-18,34.73147,-92.75093,Fall,52.0,45.5,87.1,0.003,8.5,"Rain, Partially cloudy",11.0,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
4106,Sevier County,Arkansas,2011-02-06,33.94073,-94.09966,Winter,51.2,28.8,57.9,0.079,9.1,"Snow, Rain, Partially cloudy",8.7,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
4107,Union County,Arkansas,1980-01-01,33.1075,-92.33472,Unknown,56.9,29.0,2.9,0.0,15.7,Clear,7.8,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Sunny: 0 to 6.25
4108,Union County,Arkansas,2002-11-05,33.14663,-92.61493,Fall,53.0,47.9,95.4,0.764,7.4,"Rain, Overcast",9.2,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
4109,Union County,Arkansas,2005-05-07,33.26462,-92.64066,Spring,83.0,47.6,0.0,0.0,9.6,Clear,13.2,light: 0 to 0.1,Clear: 6.21 to 12.43,
4111,White County,Arkansas,2015-11-26,35.255,-91.50301,Fall,70.8,57.0,93.0,0.0,9.9,Overcast,17.3,light: 0 to 0.1,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
4112,White County,Arkansas,2015-12-28,35.34737,-91.60007,Winter,52.1,39.1,93.6,1.564,9.3,"Rain, Overcast",20.8,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
4113,Baldwin County,Alabama,2021-11-21,30.31786,-87.64934,Fall,78.6,57.1,37.6,0.0,8.5,Partially cloudy,12.7,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
4116,Lonoke County,Arkansas,2001-08-11,34.787,-91.735,Fall,88.9,73.1,61.4,0.323,8.0,"Rain, Partially cloudy",10.1,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
4124,Grant County,Arkansas,1973-04-15,34.20873,-92.57542,Spring,71.9,54.8,94.8,0.0,8.1,Overcast,17.9,light: 0 to 0.1,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
4127,Faulkner County,Arkansas,2010-04-10,34.56384,-92.22704,Spring,75.4,45.5,19.3,0.0,9.6,Clear,12.9,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
4129,Desha County,Arkansas,1979-06-14,34.17376,-91.07266,Summer,89.9,60.3,33.5,0.0,8.0,Partially cloudy,11.4,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
4131,Fulton County,Arkansas,2008-01-15,36.33205,-91.52025,Winter,41.2,22.3,0.0,0.0,9.9,Clear,7.7,light: 0 to 0.1,Clear: 6.21 to 12.43,
4135,Hot Spring County,Arkansas,2005-10-16,34.31611,-93.17056,Fall,80.3,56.7,0.0,0.0,9.6,Clear,6.6,light: 0 to 0.1,Clear: 6.21 to 12.43,
4136,Hot Spring County,Arkansas,2005-12-04,34.285,-93.162,Winter,51.1,35.2,68.9,0.0,9.8,Partially cloudy,14.0,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
4139,Independence County,Arkansas,2011-11-24,35.703,-91.46231,Fall,54.4,46.7,86.9,0.0,9.7,Partially cloudy,7.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
4142,Logan County,Arkansas,1986-06-01,35.34572,-93.75313,Summer,80.9,65.9,98.3,0.181,9.9,"Rain, Overcast",12.8,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
4143,Madison County,Arkansas,1981-07-15,36.31519,-93.75723,Summer,93.8,74.9,9.1,0.0,12.1,Clear,17.2,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
4147,Marion County,Arkansas,2012-12-04,36.14065,-92.52505,Winter,63.5,40.3,52.1,0.742,9.0,"Rain, Partially cloudy",8.9,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
4148,Marion County,Arkansas,2022-09-09,36.09306,-92.45677,Fall,83.2,58.4,17.0,0.0,8.6,Clear,5.8,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
4149,Crittenden County,Arkansas,1980-06-15,35.0194,-90.32,Summer,94.8,74.5,6.0,0.0,9.7,Clear,19.4,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
4150,Crawford County,Arkansas,2010-03-23,35.36335,-94.229,Fall,73.6,35.6,0.3,0.004,9.6,Rain,10.3,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
4155,Carroll County,Arkansas,1994-07-16,36.41,-93.74,Summer,87.0,69.0,53.3,0.0,13.1,Partially cloudy,11.4,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Partly Cloudy/Sunny: 25 to 62.5
4172,Coconino County,Arizona,2000-12-24,34.90831,-110.8403,Winter,57.8,17.0,0.0,0.0,9.9,Clear,13.9,light: 0 to 0.1,Clear: 6.21 to 12.43,
4175,Coconino County,Arizona,2004-10-08,34.4274,-110.9986,Fall,77.1,39.8,0.0,0.0,9.6,Clear,9.2,light: 0 to 0.1,Clear: 6.21 to 12.43,
4176,Coconino County,Arizona,2005-05-30,35.1394,-111.6259,Spring,68.4,48.2,0.1,0.0,9.9,Clear,28.2,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
4179,Coconino County,Arizona,2006-04-23,34.475,-111.08,Spring,70.1,42.2,0.0,0.0,9.9,Clear,34.2,light: 0 to 0.1,Clear: 6.21 to 12.43,
4180,Coconino County,Arizona,2006-07-03,35.09,-111.7,Summer,82.0,53.9,33.4,0.0,9.9,Partially cloudy,16.7,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
4182,Coconino County,Arizona,2006-08-15,35.3,-111.675,Summer,74.1,55.1,62.4,0.324,9.6,"Rain, Partially cloudy",14.6,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
4183,Coconino County,Arizona,2006-11-03,34.34,-110.9725,Fall,69.2,30.8,0.0,0.0,9.8,Clear,6.9,light: 0 to 0.1,Clear: 6.21 to 12.43,
4184,Coconino County,Arizona,2007-08-05,34.575,-111.4,Summer,76.9,59.9,79.1,0.434,9.3,"Rain, Partially cloudy",11.1,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
4189,Coconino County,Arizona,2008-09-24,36.3431,-112.0934,Fall,80.3,37.2,15.0,0.0,9.9,Clear,15.0,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
4193,Coconino County,Arizona,2011-07-15,34.43951,-111.0946,Summer,86.2,51.9,0.4,0.0,9.8,Clear,12.4,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
4194,Coconino County,Arizona,2012-10-06,36.65,-112.24,Fall,76.3,50.2,9.2,0.0,9.9,Clear,8.0,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
4196,Coconino County,Arizona,2014-08-10,35.30685,-111.7141,Summer,85.0,54.6,24.9,0.007,8.7,"Rain, Partially cloudy",11.4,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
4198,Coconino County,Arizona,2016-06-26,34.43542,-111.3164,Summer,91.8,65.9,0.0,0.0,9.9,Clear,13.3,light: 0 to 0.1,Clear: 6.21 to 12.43,
4208,Graham County,Arizona,2008-09-13,32.7071,-109.9643,Fall,88.1,60.2,0.0,0.0,9.9,Clear,15.0,light: 0 to 0.1,Clear: 6.21 to 12.43,
4209,Graham County,Arizona,2013-05-26,32.70631,-109.9134,Spring,95.6,59.9,0.0,0.0,9.9,Clear,23.0,light: 0 to 0.1,Clear: 6.21 to 12.43,
4210,Graham County,Arizona,2013-06-16,32.70722,-109.9648,Summer,100.5,66.0,35.4,0.0,9.9,Partially cloudy,12.8,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
4212,Maricopa County,Arizona,1992-08-15,32.95,-112.73,Summer,109.1,85.6,55.3,0.0,24.0,Partially cloudy,11.4,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Partly Cloudy/Sunny: 25 to 62.5
4215,Maricopa County,Arizona,2008-07-29,33.3785,-112.6432,Spring,104.8,79.1,5.3,0.0,9.9,Clear,13.0,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
4217,Navajo County,Arizona,2007-06-11,34.27139,-110.0632,Summer,62.7,48.3,68.3,0.26,8.4,"Rain, Partially cloudy",12.8,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
4221,Navajo County,Arizona,2014-04-22,34.285,-110.11,Spring,73.5,42.9,6.8,0.0,9.9,Clear,29.7,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
4226,Baxter County,Arkansas,2009-02-15,36.38605,-92.30614,Winter,39.7,29.9,67.5,0.01,7.3,"Snow, Rain, Partially cloudy",9.7,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
4228,Benton County,Arkansas,2004-04-04,36.18333,-94.44694,Fall,62.8,40.9,0.3,0.0,9.9,Clear,9.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
4233,Crittenden County,Arkansas,1983-10-15,35.14639,-90.18444,Winter,75.8,44.0,0.0,0.0,12.5,Clear,10.8,light: 0 to 0.1,Very Clear: 12.43 to 31.06,
4245,San Luis Obispo County,California,1974-08-01,35.665,-120.55,Summer,101.9,56.9,0.0,0.0,19.3,Clear,20.6,light: 0 to 0.1,Very Clear: 12.43 to 31.06,
4250,San Diego County,California,1988-07-13,33.32237,-116.8782,Summer,82.8,63.7,57.7,0.0,9.7,Partially cloudy,9.8,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
4251,San Diego County,California,1993-07-04,33.2675,-116.8625,Summer,72.7,65.7,76.8,0.0,8.4,Partially cloudy,11.4,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
4253,San Diego County,California,2012-07-22,32.81075,-116.4208,Summer,80.5,62.0,43.0,0.006,8.8,"Rain, Partially cloudy",10.6,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
4254,San Diego County,California,2019-10-20,33.03662,-116.5645,Fall,82.2,45.9,1.9,0.0,9.7,Clear,12.4,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
4255,Santa Barbara County,California,2005-09-30,34.60665,-120.0023,Fall,80.4,50.9,2.3,0.0,9.5,Clear,10.8,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
4256,Santa Cruz County,California,1958-04-15,37.055,-121.845,Spring,80.4,50.9,2.3,0.0,9.5,Clear,10.8,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
4257,Santa Cruz County,California,1980-10-11,38.4906,-121.7138,Fall,69.4,52.9,61.9,0.0,10.8,Partially cloudy,14.0,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
4260,Shasta County,California,1977-08-01,40.8875,-122.3775,Spring,107.0,59.1,94.4,0.787,30.7,"Rain, Overcast",11.4,heavy: 0.3 to 2,Very Clear: 12.43 to 31.06,Cloudy/Overcast: 87.5 to 100
4261,Shasta County,California,1978-10-01,40.63556,-122.7325,Fall,89.5,65.0,18.4,0.0,39.1,Clear,18.8,light: 0 to 0.1,Exceptionally Clear: 31.06+,Mostly Sunny: 6.25 to 25
4267,Shasta County,California,1988-06-15,40.45787,-121.8765,Summer,99.8,66.2,51.9,0.0,45.0,Partially cloudy,10.9,light: 0 to 0.1,Exceptionally Clear: 31.06+,Partly Cloudy/Sunny: 25 to 62.5
4270,Shasta County,California,1992-01-01,40.58667,-122.3906,Unknown,56.8,29.3,43.9,0.0,37.3,Partially cloudy,7.0,light: 0 to 0.1,Exceptionally Clear: 31.06+,Partly Cloudy/Sunny: 25 to 62.5
4271,Shasta County,California,1992-09-01,40.88,-121.675,Fall,84.6,56.0,49.6,0.043,27.4,"Rain, Partially cloudy",7.7,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Partly Cloudy/Sunny: 25 to 62.5
4272,Shasta County,California,1994-09-15,40.92911,-121.6156,Fall,90.0,56.2,0.0,0.261,42.7,Rain,9.3,moderate: 0.1 to 0.3,Exceptionally Clear: 31.06+,
4273,Shasta County,California,1997-07-15,40.75,-122.1667,Summer,96.9,64.8,0.7,0.0,9.9,Clear,9.5,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
4277,Shasta County,California,2002-06-26,40.53806,-121.7314,Summer,98.2,69.2,5.9,0.0,9.0,Clear,16.3,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
4278,Shasta County,California,2003-04-19,40.75,-122.1675,Spring,70.6,43.9,0.0,0.0,9.9,Clear,8.2,light: 0 to 0.1,Clear: 6.21 to 12.43,
4279,Shasta County,California,2006-01-07,40.4999,-121.9167,Winter,52.3,39.3,74.6,0.152,5.8,"Rain, Partially cloudy",14.8,moderate: 0.1 to 0.3,Light Haze: 2.48 to 6.21,Mostly Cloudy: 62.5 to 87.5
4280,Shasta County,California,2006-08-21,40.8833,-122.2333,Summer,90.3,57.6,0.0,0.0,9.9,Clear,9.6,light: 0 to 0.1,Clear: 6.21 to 12.43,
4281,Shasta County,California,2007-04-18,40.7333,-122.6667,Summer,56.4,32.5,24.6,0.0,9.9,Partially cloudy,9.5,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
4282,Shasta County,California,2013-01-07,40.5835,-122.553,Winter,58.1,39.1,10.7,0.0,9.9,Clear,5.8,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
4284,Shasta County,California,2018-09-04,40.64289,-121.8214,Summer,97.8,64.4,0.0,0.0,8.7,Clear,11.8,light: 0 to 0.1,Clear: 6.21 to 12.43,
4285,Shasta County,California,2022-07-19,40.59781,-121.6476,Summer,102.1,67.2,0.0,0.0,9.9,Clear,13.4,light: 0 to 0.1,Clear: 6.21 to 12.43,
4288,Sierra County,California,2002-08-30,39.5575,-120.8294,Summer,73.1,62.0,14.6,0.0,9.9,Clear,12.8,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
4290,Siskiyou County,California,1966-09-01,41.42806,-122.3839,Fall,73.1,62.0,14.6,0.0,9.9,Clear,12.8,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
